Item ID,Name,Color,Size,SKU,Sale Date,Listing Amount,Sale Fees + Shipping,Net Sale,Purchase Subtotal,Purchase Tax,Purchase Shipping,Purchase Total,Profit,Sale Platform,Imported From
27565343,Nike Air Max Terrascape 90 Black,Black/Black/Black/Black,12,DQ3987-002,01/04/2024,$78.34,$0.00,$78.34,$72.37,$0.00,$0.00,$72.37,$5.97,alias,spreadsheet
27591266,Jordan 4 Retro SE Craft Medium Olive,Medium Olive/Pale Vanilla/Khaki/Black/Sail,14,FB9927-200,01/05/2024,$162.71,$0.00,$162.71,$132.31,$0.00,$0.00,$132.31,$30.40,alias,upc_scan
27565382,Jordan 1 Mid Patent Black White Gold,Black/White-Metallic Gold,8.5,852542-007,01/05/2024,$102.96,$0.00,$102.96,$92.46,$0.00,$0.00,$92.46,$10.50,alias,spreadsheet
27565396,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,9.5,DH2973-100,01/05/2024,$108.23,$0.00,$108.23,$75.40,$0.00,$0.00,$75.40,$32.83,alias,spreadsheet
27565312,Nike Air Max 1 '86 OG Big Bubble Lost Sketch,Light Smoke Grey/Diffused Blue,10.5,DV7525-001,01/05/2024,$85.38,$0.00,$85.38,$76.97,$0.00,$0.00,$76.97,$8.41,alias,spreadsheet
27565450,Nike Blazer Low 77 Vintage White Black,White/Sail-Black,11,DA6464-101/DA6364-101,01/05/2024,$67.81,$0.00,$67.81,$44.08,$0.00,$0.00,$44.08,$23.73,alias,spreadsheet
27565423,Nike Ja 1 Black Smoke Grey,Black/Light Silver/Coconut Milk/Vivid Sulfur,9.5,DR8785-002/DR8786-002,01/05/2024,$87.14,$0.00,$87.14,$75.40,$0.00,$0.00,$75.40,$11.74,alias,spreadsheet
27565294,Nike Dunk High 1985 Barely Rose Denim,Light Pink/White/Red,9.5,DQ8799-100,01/05/2024,$74.84,$0.00,$74.84,$57.57,$0.00,$0.00,$57.57,$17.27,alias,spreadsheet
27565395,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,9.5,DH2973-100,01/05/2024,$101.00,$11.27,$89.73,$75.40,$0.00,$0.00,$75.40,$14.33,,spreadsheet
27591281,Nike Dunk Low Red Panda,Velvet Brown/Sanddrift-Rugged Orange,11,FV0395-200,01/05/2024,$104.99,$0.00,$104.99,$78.76,$0.00,$0.00,$78.76,$26.23,alias,upc_scan
27584543,Nike Air Force 1 High White,White/White,9,315121-115/CW2290-111,01/05/2024,$79.51,$0.00,$79.51,$62.97,$0.00,$0.00,$62.97,$16.54,alias,manual
27565369,adidas Ultra Boost 5.0 DNA Triple Black,Core Black/Core Black/Beam Green,10.5,GV8745,01/05/2024,$119.00,$13.16,$105.84,$77.56,$0.00,$0.00,$77.56,$28.28,,spreadsheet
27565433,Nike Air Max 90 Triple Red (2020),University Red/University Red-Black,10,CZ7918-600,01/05/2024,$97.00,$10.86,$86.14,$55.10,$0.00,$0.00,$55.10,$31.04,,spreadsheet
27565375,Nike Dunk Low Retro White Black Panda (TD),White/Black-White,4C,CW1589-100,01/06/2024,$47.00,$7.08,$39.92,$38.50,$0.00,$0.00,$38.50,$1.42,,spreadsheet
27565352,Nike Kwondo 1 G-Dragon Peaceminusone Panda,Black/White,8,DH2482-101,01/06/2024,$134.00,$14.74,$119.26,$107.76,$0.00,$0.00,$107.76,$11.50,,spreadsheet
27565393,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,9.5,DH2973-100,01/06/2024,$100.00,$11.17,$88.83,$75.40,$0.00,$0.00,$75.40,$13.43,,spreadsheet
27565398,Nike Air Max 90 Terrascape Sail Sea Glass,Sail/Sea Glass/Black,13,DH2973-100,01/06/2024,$93.00,$10.44,$82.56,$75.40,$0.00,$0.00,$75.40,$7.16,,spreadsheet
27565445,Nike Blazer Low 77 Vintage White Black,White/Sail-Black,9.5,DA6464-101/DA6364-101,01/07/2024,$66.00,$7.65,$58.35,$44.08,$0.00,$0.00,$44.08,$14.27,,spreadsheet
27565688,Jordan 1 Mid Lucky Green,Lucky Green/Black/White,13,DQ8426-301,01/07/2024,$89.00,$10.02,$78.98,$0.00,$0.00,$0.00,$0.00,$78.98,,stockx
27565341,Nike Sportswear Tech Fleece Revival Joggers Black/Heather,Black/Heather,S,DD4706-010,01/07/2024,$57.00,$10.71,$46.29,$27.99,$0.00,$0.00,$27.99,$18.30,,spreadsheet
